Port,Plant,Cargo,Vessel_Size,Weather,Labor_Action,Rake_Type,Multi_Port_Discharge,Port_Congestion_Index,Rake_Demand,Rake_Availability,Yard_Capacity,Yard_Usage,Vessel_Queue,Date,Delay_Hours,Delay_Severity,High_Risk,Route_Recommendation
Gangavaram,Tata_Steel_Kalinganagar,Coking_Coal,Panamax,Clear,Low,Standard_IR,0,5,49,35,60,34,8,2021-01-11,44.00638558166475,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Vizag,Vizag_Steel,Iron_Ore,Panamax,Rain,Low,Captive,0,3,45,25,21,38,9,2021-01-12,40.192680833909755,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Gangavaram,Vizag_Steel,Iron_Ore,Panamax,Clear,Low,Standard_IR,0,10,37,33,55,33,7,2021-01-12,81.62842969833623,2,1,Recommend: Rake priority swap or Coastal Barge routing
Haldia,Vizag_Steel,Coking_Coal,Capesize,Clear,Low,Standard_IR,0,7,16,7,93,79,9,2021-01-13,98.26365922821404,2,1,Recommend: Rake priority swap or Coastal Barge routing
Haldia,JSW_Vijayanagar,Coking_Coal,Panamax,Clear,Medium,Captive,1,9,49,30,68,27,0,2021-01-13,86.50004289468575,2,1,Recommend: Transshipment away from congested port
Gangavaram,SAIL_Rourkela,Limestone,Panamax,Clear,Low,GPWIS,1,6,37,10,86,14,14,2021-01-14,19.948260861592054,1,0,Action: Monitor tightly / Optimize port yard storage buffer
Haldia,Vizag_Steel,Iron_Ore,Capesize,Clear,Low,Captive,0,3,11,24,72,27,10,2021-01-14,9.211813731028753,0,0,Action: Normal secure operations
Haldia,Vizag_Steel,Coking_Coal,Handymax,Clear,Low,Standard_IR,0,5,18,17,38,72,12,2021-01-15,60.487434574047626,2,1,Recommend: Rake priority swap or Coastal Barge routing
Paradip,JSW_Vijayanagar,Iron_Ore,Handymax,Clear,Low,Standard_IR,0,7,15,45,45,46,10,2021-01-15,58.54745267418056,2,1,Recommend: Rake priority swap or Coastal Barge routing
Gangavaram,Vizag_Steel,Coking_Coal,Panamax,Clear,Low,Captive,1,8,10,27,73,80,6,2021-01-15,51.93613667903532,2,1,Recommend: Transshipment away from congested port
Dhamra,JSW_Vijayanagar,Iron_Ore,Handymax,Clear,High,Standard_IR,0,4,12,19,70,64,12,2021-01-16,107.29957384880564,2,1,Recommend: Rake priority swap or Coastal Barge routing
Gangavaram,Tata_Steel_Kalinganagar,Limestone,Panamax,Clear,Medium,Captive,0,2,19,35,44,82,8,2021-01-16,43.36453404688662,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Paradip,Vizag_Steel,Iron_Ore,Panamax,Clear,Medium,Standard_IR,0,2,32,15,93,61,4,2021-01-17,61.12933890932011,2,1,Recommend: Rake priority swap or Coastal Barge routing
Dhamra,Vizag_Steel,Iron_Ore,Capesize,Clear,Medium,Standard_IR,0,10,46,8,36,21,13,2021-01-17,105.78074759964386,2,1,Recommend: Rake priority swap or Coastal Barge routing
Vizag,Tata_Steel_Kalinganagar,Iron_Ore,Panamax,Clear,Low,GPWIS,0,3,42,6,80,66,1,2021-01-18,11.976157923526502,0,0,Action: Normal secure operations
Haldia,Tata_Steel_Kalinganagar,Iron_Ore,Capesize,Clear,Low,Standard_IR,0,8,18,20,65,55,13,2021-01-18,106.82797086587227,2,1,Recommend: Rake priority swap or Coastal Barge routing
Paradip,Tata_Steel_Kalinganagar,Iron_Ore,Panamax,Clear,Low,Standard_IR,0,1,22,35,74,53,7,2021-01-18,0.0,0,0,Action: Normal secure operations
Haldia,Vizag_Steel,Limestone,Panamax,Clear,Low,Captive,0,7,37,43,69,33,14,2021-01-19,37.00306084556292,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Vizag,SAIL_Rourkela,Coking_Coal,Panamax,Rain,Low,Standard_IR,1,6,16,47,94,18,8,2021-01-19,67.59211329309724,2,1,Recommend: Rake priority swap or Coastal Barge routing
Vizag,SAIL_Rourkela,Iron_Ore,Capesize,Clear,Low,Captive,0,2,35,48,30,21,6,2021-01-20,7.645061811166835,0,0,Action: Normal secure operations
Paradip,SAIL_Rourkela,Limestone,Panamax,Clear,Low,Captive,1,9,25,8,31,18,11,2021-01-20,88.78825999875482,2,1,Recommend: Transshipment away from congested port
Dhamra,Tata_Steel_Kalinganagar,Iron_Ore,Capesize,Clear,Low,GPWIS,0,2,35,20,67,26,4,2021-01-21,18.37341909523488,1,0,Action: Monitor tightly / Optimize port yard storage buffer
Vizag,Vizag_Steel,Iron_Ore,Panamax,Clear,Medium,GPWIS,0,5,49,32,59,31,12,2021-01-21,38.31386739296181,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Vizag,Vizag_Steel,Coking_Coal,Panamax,Clear,High,Standard_IR,0,3,48,43,75,42,7,2021-01-22,55.68361951706604,2,1,Recommend: Rake priority swap or Coastal Barge routing
Haldia,Tata_Steel_Kalinganagar,Iron_Ore,Panamax,Clear,Low,Standard_IR,0,7,41,29,27,56,14,2021-01-22,62.850369117456104,2,1,Recommend: Rake priority swap or Coastal Barge routing
Haldia,Vizag_Steel,Limestone,Capesize,Clear,Low,Standard_IR,0,7,45,17,33,97,5,2021-01-22,93.93804809797442,2,1,Recommend: Rake priority swap or Coastal Barge routing
Haldia,Vizag_Steel,Limestone,Panamax,Clear,Low,GPWIS,0,10,10,9,75,24,11,2021-01-23,61.7165300299405,2,1,Recommend: Transshipment away from congested port
Haldia,Tata_Steel_Kalinganagar,Coking_Coal,Panamax,Clear,Low,GPWIS,0,1,30,34,73,42,3,2021-01-23,0.0,0,0,Action: Normal secure operations
Dhamra,SAIL_Rourkela,Iron_Ore,Capesize,Rain,Low,GPWIS,1,10,22,5,36,24,0,2021-01-24,97.96267431552157,2,1,Recommend: Divert to alternative safe Port
Gangavaram,Tata_Steel_Kalinganagar,Limestone,Panamax,Clear,Low,Standard_IR,0,4,35,9,64,36,5,2021-01-24,36.92921130926078,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Vizag,Tata_Steel_Kalinganagar,Iron_Ore,Capesize,Clear,Low,Captive,0,3,32,38,28,91,11,2021-01-25,38.580131104342385,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Paradip,JSW_Vijayanagar,Iron_Ore,Panamax,Clear,Low,Standard_IR,0,6,18,18,24,70,7,2021-01-25,52.19621879358168,2,1,Recommend: Rake priority swap or Coastal Barge routing
Haldia,JSW_Vijayanagar,Iron_Ore,Capesize,Clear,Low,Standard_IR,0,8,46,15,22,77,2,2021-01-25,69.4518453163936,2,1,Recommend: Rake priority swap or Coastal Barge routing
Haldia,Vizag_Steel,Coking_Coal,Panamax,Clear,Low,Standard_IR,0,3,10,33,39,94,6,2021-01-26,33.128041983726895,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Vizag,JSW_Vijayanagar,Iron_Ore,Handymax,Clear,Low,Standard_IR,0,8,11,22,40,57,12,2021-01-26,63.20465683668952,2,1,Recommend: Rake priority swap or Coastal Barge routing
Vizag,JSW_Vijayanagar,Limestone,Panamax,Clear,Low,GPWIS,0,8,37,19,99,17,11,2021-01-27,31.491296790288242,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Haldia,Vizag_Steel,Iron_Ore,Panamax,Clear,Low,Standard_IR,0,8,45,29,52,15,6,2021-01-27,79.75700152541384,2,1,Recommend: Rake priority swap or Coastal Barge routing
Dhamra,Vizag_Steel,Limestone,Panamax,Rain,Low,Captive,0,1,40,34,24,72,8,2021-01-28,40.44067369687844,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Vizag,SAIL_Rourkela,Iron_Ore,Panamax,Cyclone,Low,GPWIS,0,8,14,49,43,93,0,2021-01-28,111.90586217993695,2,1,Recommend: Divert to alternative safe Port
Haldia,Tata_Steel_Kalinganagar,Limestone,Panamax,Clear,Low,Captive,1,2,34,44,98,31,7,2021-01-29,38.84309529619753,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Vizag,Vizag_Steel,Limestone,Panamax,Clear,Low,GPWIS,1,8,46,6,82,11,4,2021-01-29,21.12182534675844,1,0,Action: Monitor tightly / Optimize port yard storage buffer
Vizag,Tata_Steel_Kalinganagar,Iron_Ore,Handymax,Clear,Low,Captive,0,9,17,31,45,30,12,2021-01-29,69.05007982897189,2,1,Recommend: Transshipment away from congested port
Vizag,SAIL_Rourkela,Iron_Ore,Panamax,Clear,Low,Captive,0,7,43,19,52,15,12,2021-01-30,63.79807632368487,2,1,Recommend: Expedite alternative multi-modal transport via truck
Haldia,JSW_Vijayanagar,Limestone,Panamax,Clear,Low,GPWIS,0,8,48,36,37,79,2,2021-01-30,12.36223375201623,1,0,Action: Monitor tightly / Optimize port yard storage buffer
Haldia,JSW_Vijayanagar,Coking_Coal,Handymax,Clear,Low,Standard_IR,0,2,41,24,37,22,4,2021-01-31,40.389800649332884,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Paradip,Vizag_Steel,Iron_Ore,Handymax,Rain,Low,Standard_IR,1,4,20,18,57,10,13,2021-01-31,102.84118573861119,2,1,Recommend: Rake priority swap or Coastal Barge routing
Dhamra,JSW_Vijayanagar,Iron_Ore,Panamax,Clear,Low,Captive,0,6,12,7,46,33,8,2021-02-01,9.05164743896503,0,0,Action: Normal secure operations
Dhamra,Tata_Steel_Kalinganagar,Coking_Coal,Panamax,Clear,Low,Standard_IR,0,7,34,31,52,31,0,2021-02-01,19.409562251691284,1,0,Action: Monitor tightly / Optimize port yard storage buffer
Vizag,SAIL_Rourkela,Iron_Ore,Handymax,Clear,Low,GPWIS,0,7,41,7,68,73,3,2021-02-01,38.2036067968622,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Vizag,Tata_Steel_Kalinganagar,Iron_Ore,Panamax,Clear,Low,GPWIS,0,8,41,29,34,31,2,2021-02-02,45.878085812422505,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Dhamra,SAIL_Rourkela,Iron_Ore,Capesize,Rain,Low,GPWIS,0,1,44,17,69,50,4,2021-02-02,23.273896806369798,1,0,Action: Monitor tightly / Optimize port yard storage buffer
Haldia,SAIL_Rourkela,Iron_Ore,Panamax,Clear,Low,Standard_IR,0,4,46,5,71,21,1,2021-02-03,26.245923571906193,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Paradip,SAIL_Rourkela,Coking_Coal,Capesize,Clear,Low,Standard_IR,0,7,43,22,96,70,13,2021-02-03,83.32890020629122,2,1,Recommend: Rake priority swap or Coastal Barge routing
Haldia,Tata_Steel_Kalinganagar,Limestone,Panamax,Rain,Low,Standard_IR,1,1,14,43,87,99,11,2021-02-04,42.2667931160515,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Haldia,Vizag_Steel,Limestone,Capesize,Clear,High,Standard_IR,0,8,37,9,38,13,13,2021-02-04,129.00439067816725,2,1,Recommend: Rake priority swap or Coastal Barge routing
Dhamra,Vizag_Steel,Coking_Coal,Panamax,Rain,High,Captive,0,10,37,6,44,92,6,2021-02-05,124.31955090078058,2,1,Recommend: Divert to alternative safe Port
Paradip,SAIL_Rourkela,Iron_Ore,Panamax,Clear,Low,Captive,0,7,17,34,95,89,10,2021-02-05,0.34651031537594434,0,0,Action: Normal secure operations
Dhamra,Vizag_Steel,Limestone,Handymax,Clear,Low,Standard_IR,0,8,36,21,95,21,4,2021-02-05,57.89402197429195,2,1,Recommend: Rake priority swap or Coastal Barge routing
Dhamra,Vizag_Steel,Coking_Coal,Panamax,Clear,Low,Captive,0,10,25,33,44,42,10,2021-02-06,49.74256308941283,2,1,Recommend: Transshipment away from congested port
Paradip,SAIL_Rourkela,Iron_Ore,Handymax,Clear,Low,GPWIS,0,1,27,46,52,30,9,2021-02-06,0.0,0,0,Action: Normal secure operations
Paradip,Vizag_Steel,Limestone,Handymax,Clear,Medium,Captive,0,5,34,8,79,82,13,2021-02-07,56.82086327169241,2,1,Recommend: Expedite alternative multi-modal transport via truck
Paradip,SAIL_Rourkela,Limestone,Handymax,Rain,High,Captive,0,9,10,13,56,81,2,2021-02-07,92.3145314499068,2,1,Recommend: Divert to alternative safe Port
Gangavaram,Tata_Steel_Kalinganagar,Iron_Ore,Handymax,Clear,Low,Standard_IR,0,3,43,16,33,83,9,2021-02-08,42.736956871457295,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Paradip,JSW_Vijayanagar,Coking_Coal,Handymax,Clear,Low,GPWIS,0,5,17,25,62,93,14,2021-02-08,36.40079203239779,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Haldia,Tata_Steel_Kalinganagar,Iron_Ore,Capesize,Clear,Low,Standard_IR,0,10,30,47,28,83,1,2021-02-08,92.43985126181396,2,1,Recommend: Rake priority swap or Coastal Barge routing
Gangavaram,Vizag_Steel,Limestone,Panamax,Clear,Low,GPWIS,1,9,33,16,22,81,5,2021-02-09,74.36839955651325,2,1,Recommend: Transshipment away from congested port
Paradip,Vizag_Steel,Limestone,Capesize,Clear,Medium,GPWIS,0,9,46,8,88,61,9,2021-02-09,79.64464435300202,2,1,Recommend: Transshipment away from congested port
Gangavaram,Vizag_Steel,Limestone,Panamax,Clear,Medium,Standard_IR,0,4,35,32,75,56,5,2021-02-10,49.85724407292044,2,1,Recommend: Rake priority swap or Coastal Barge routing
Gangavaram,Tata_Steel_Kalinganagar,Iron_Ore,Handymax,Clear,Low,GPWIS,0,4,23,13,45,68,2,2021-02-10,0.0,0,0,Action: Normal secure operations
Gangavaram,JSW_Vijayanagar,Coking_Coal,Panamax,Cyclone,Low,GPWIS,0,7,39,36,60,65,12,2021-02-11,111.11937398251393,2,1,Recommend: Divert to alternative safe Port
Paradip,JSW_Vijayanagar,Coking_Coal,Panamax,Clear,Low,Captive,0,8,38,44,72,56,14,2021-02-11,47.659122527524204,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Vizag,Tata_Steel_Kalinganagar,Limestone,Capesize,Clear,Low,Standard_IR,1,3,45,23,99,44,2,2021-02-12,52.49092700425783,2,1,Recommend: Rake priority swap or Coastal Barge routing
Dhamra,Tata_Steel_Kalinganagar,Iron_Ore,Panamax,Clear,Low,GPWIS,0,5,12,17,40,22,8,2021-02-12,7.767113480347765,0,0,Action: Normal secure operations
Vizag,JSW_Vijayanagar,Coking_Coal,Panamax,Rain,Medium,Standard_IR,1,6,16,38,58,53,0,2021-02-12,89.35696888222554,2,1,Recommend: Rake priority swap or Coastal Barge routing
Paradip,JSW_Vijayanagar,Coking_Coal,Panamax,Clear,Low,GPWIS,0,6,20,18,42,38,12,2021-02-13,23.651399426126947,1,0,Action: Monitor tightly / Optimize port yard storage buffer
Haldia,SAIL_Rourkela,Coking_Coal,Panamax,Clear,Low,Captive,0,8,41,9,93,65,0,2021-02-13,55.11335773778447,2,1,Recommend: Transshipment away from congested port
Paradip,SAIL_Rourkela,Coking_Coal,Panamax,Clear,Medium,GPWIS,0,10,21,31,77,14,6,2021-02-14,38.801855934712535,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Haldia,Tata_Steel_Kalinganagar,Limestone,Handymax,Rain,Low,GPWIS,0,9,24,32,88,76,1,2021-02-14,73.96674402961708,2,1,Recommend: Divert to alternative safe Port
Vizag,JSW_Vijayanagar,Iron_Ore,Capesize,Clear,Medium,Standard_IR,0,3,47,30,94,62,10,2021-02-15,36.32860898662912,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Paradip,Vizag_Steel,Limestone,Handymax,Clear,Medium,Standard_IR,0,8,33,14,48,69,10,2021-02-15,115.56842082318977,2,1,Recommend: Rake priority swap or Coastal Barge routing
Gangavaram,SAIL_Rourkela,Iron_Ore,Capesize,Clear,Low,Standard_IR,0,2,27,21,72,57,3,2021-02-16,0.0,0,0,Action: Normal secure operations
Dhamra,JSW_Vijayanagar,Iron_Ore,Panamax,Rain,High,Standard_IR,0,3,10,28,81,15,11,2021-02-16,98.46101500717256,2,1,Recommend: Rake priority swap or Coastal Barge routing
Haldia,SAIL_Rourkela,Iron_Ore,Panamax,Clear,Low,Standard_IR,0,5,16,20,64,89,3,2021-02-16,35.18082495791314,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Gangavaram,JSW_Vijayanagar,Coking_Coal,Panamax,Clear,Low,Standard_IR,0,4,11,21,46,44,13,2021-02-17,53.59205639890482,2,1,Recommend: Rake priority swap or Coastal Barge routing
Gangavaram,JSW_Vijayanagar,Coking_Coal,Panamax,Rain,Low,GPWIS,0,5,49,5,53,27,12,2021-02-17,59.25157044437403,2,1,Recommend: Divert to alternative safe Port
Paradip,Vizag_Steel,Iron_Ore,Capesize,Clear,Low,GPWIS,0,6,40,25,33,20,7,2021-02-18,51.01314827230772,2,1,Recommend: Expedite alternative multi-modal transport via truck
Gangavaram,Vizag_Steel,Iron_Ore,Panamax,Clear,Low,Standard_IR,0,3,42,47,60,60,10,2021-02-18,32.019218409284385,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Gangavaram,JSW_Vijayanagar,Limestone,Handymax,Cyclone,Medium,Standard_IR,0,4,40,9,79,56,2,2021-02-19,108.9537616774356,2,1,Recommend: Rake priority swap or Coastal Barge routing
Paradip,JSW_Vijayanagar,Iron_Ore,Panamax,Clear,Low,Standard_IR,0,6,43,40,61,84,9,2021-02-19,70.23313932944002,2,1,Recommend: Rake priority swap or Coastal Barge routing
Dhamra,JSW_Vijayanagar,Coking_Coal,Capesize,Clear,Low,Captive,0,1,39,26,93,32,3,2021-02-19,2.9611054884665093,0,0,Action: Normal secure operations
Vizag,Tata_Steel_Kalinganagar,Coking_Coal,Handymax,Clear,Low,GPWIS,0,2,34,13,94,66,2,2021-02-20,0.0,0,0,Action: Normal secure operations
Dhamra,JSW_Vijayanagar,Limestone,Capesize,Clear,Low,Standard_IR,0,2,16,25,70,68,11,2021-02-20,40.318096973717566,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Gangavaram,JSW_Vijayanagar,Iron_Ore,Panamax,Cyclone,Low,Standard_IR,0,1,25,31,30,65,4,2021-02-21,93.34157205793451,2,1,Recommend: Rake priority swap or Coastal Barge routing
Paradip,Vizag_Steel,Limestone,Handymax,Rain,Medium,Captive,0,9,31,16,54,36,5,2021-02-21,50.962502602543736,2,1,Recommend: Divert to alternative safe Port
Vizag,SAIL_Rourkela,Limestone,Panamax,Cyclone,Low,Standard_IR,0,3,45,22,38,82,6,2021-02-22,145.4452683928919,2,1,Recommend: Rake priority swap or Coastal Barge routing
Vizag,Tata_Steel_Kalinganagar,Limestone,Panamax,Clear,Medium,GPWIS,1,2,36,39,84,44,12,2021-02-22,47.32569717040589,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Haldia,JSW_Vijayanagar,Coking_Coal,Panamax,Clear,Low,Standard_IR,0,4,26,19,95,64,4,2021-02-23,0.8398268168086496,0,0,Action: Normal secure operations
Dhamra,SAIL_Rourkela,Coking_Coal,Handymax,Clear,Low,Standard_IR,1,6,13,48,80,18,6,2021-02-23,77.49531669619552,2,1,Recommend: Rake priority swap or Coastal Barge routing
Gangavaram,Tata_Steel_Kalinganagar,Limestone,Handymax,Rain,Low,Captive,1,1,44,34,66,27,3,2021-02-23,40.656699802299215,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Paradip,SAIL_Rourkela,Limestone,Handymax,Clear,Low,Captive,0,9,31,49,33,53,4,2021-02-24,38.824595072092144,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Haldia,JSW_Vijayanagar,Coking_Coal,Panamax,Clear,Low,Standard_IR,0,9,44,37,86,30,5,2021-02-24,62.9452588273936,2,1,Recommend: Rake priority swap or Coastal Barge routing
Haldia,Vizag_Steel,Limestone,Capesize,Clear,Low,Standard_IR,0,6,49,44,51,57,5,2021-02-25,42.469210700208706,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Dhamra,JSW_Vijayanagar,Limestone,Panamax,Rain,Low,Captive,0,8,24,40,71,65,8,2021-02-25,48.26641864587815,2,1,Recommend: Divert to alternative safe Port
Dhamra,JSW_Vijayanagar,Coking_Coal,Panamax,Clear,Low,GPWIS,0,4,30,34,99,10,9,2021-02-26,0.0,0,0,Action: Normal secure operations
Dhamra,JSW_Vijayanagar,Limestone,Panamax,Clear,Low,Standard_IR,1,2,22,30,29,36,13,2021-02-26,60.902514212767045,2,1,Recommend: Rake priority swap or Coastal Barge routing
Gangavaram,Tata_Steel_Kalinganagar,Limestone,Capesize,Clear,Medium,Standard_IR,0,8,20,25,36,54,10,2021-02-26,98.50247784649477,2,1,Recommend: Rake priority swap or Coastal Barge routing
Dhamra,Vizag_Steel,Limestone,Panamax,Rain,Low,Captive,0,7,36,41,59,72,0,2021-02-27,49.62954797032916,2,1,Recommend: Divert to alternative safe Port
Haldia,Tata_Steel_Kalinganagar,Coking_Coal,Capesize,Clear,Low,GPWIS,0,4,40,47,87,67,11,2021-02-27,32.1928628325451,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Dhamra,SAIL_Rourkela,Limestone,Panamax,Clear,Low,Standard_IR,1,3,41,35,82,49,10,2021-02-28,42.520446436437176,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Gangavaram,JSW_Vijayanagar,Coking_Coal,Handymax,Clear,Medium,GPWIS,0,6,39,21,34,72,6,2021-02-28,17.66811424680023,1,0,Action: Monitor tightly / Optimize port yard storage buffer
Haldia,Tata_Steel_Kalinganagar,Iron_Ore,Panamax,Clear,Low,Standard_IR,0,2,25,38,76,38,10,2021-03-01,25.50775908474907,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Gangavaram,SAIL_Rourkela,Coking_Coal,Handymax,Clear,Medium,GPWIS,0,1,27,21,58,47,13,2021-03-01,23.247499035472124,1,0,Action: Monitor tightly / Optimize port yard storage buffer
Vizag,JSW_Vijayanagar,Iron_Ore,Handymax,Clear,Low,GPWIS,0,7,44,28,29,49,12,2021-03-02,37.78630433661242,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Vizag,JSW_Vijayanagar,Limestone,Panamax,Clear,Low,GPWIS,0,3,18,37,90,28,10,2021-03-02,0.0,0,0,Action: Normal secure operations
Dhamra,Tata_Steel_Kalinganagar,Coking_Coal,Panamax,Clear,High,Standard_IR,1,1,48,8,36,97,2,2021-03-02,92.0807836678897,2,1,Recommend: Rake priority swap or Coastal Barge routing
Paradip,Tata_Steel_Kalinganagar,Iron_Ore,Panamax,Clear,Medium,GPWIS,0,2,46,13,95,65,5,2021-03-03,0.0,0,0,Action: Normal secure operations
Dhamra,Tata_Steel_Kalinganagar,Limestone,Panamax,Clear,Medium,Captive,1,10,19,6,36,53,1,2021-03-03,85.18611761507559,2,1,Recommend: Transshipment away from congested port
